,Intern_Role,Company_Name,Location,Duration,Stipend
33,Data Engineering,Taiyō,Work From Home,1 Month, 5000 /month
34,Data Engineering,Blackcoffer,Work From Home,6 Months, 7000-14000 /month
35,Android Development,Across The Globe (ATG),Work From Home,6 Months, 2500 /month +  Incentives
36,DevOps Development,SlashRTC Software Services Private Limited,Mumbai,6 Months, 10000 /month
37,Computer Vision,Lawnics Technologies Private Limited,Work From Home,6 Months, 1000-3000 /month
38,DevOps Engineering,TravStack,Work From Home,6 Months, 10000 /month
39,Flutter Development,Duckcart,Work From Home,3 Months, 2000-20000 /month
40,Machine Learning,SkillBit,Work From Home,1 Month, 3000 /month
41,ROS,Vyorius,Work From Home,2 Months, 2000 /month
42,Unity App Development,ShellCode Solutions,Work From Home,2 Months, 10000 /month
43,.NET Development,E-Procurement Technologies Limited,Ahmedabad,6 Months, 10000 /month
44,Game Development,K12 Techno Services,Work From Home,2 Months, 5500 /month
45,System Development-Open EdX Platform,Acies Consulting LLP,Mumbai,6 Months, 20000 /month
46,Chatbot Development,LinkCXO Global Private Limited,Bangalore,6 Months, 10000 /month
47,Java Development,Technosters Technologies Private Limited,Agra,3 Months, 3000-8000 /month
48,Machine Learning,Annosmart India,Bangalore,3 Months, 10000-22000 /month
49,ASP.NET/MVC Development,SMG Infosolutions Private Limited,Ahmedabad,6 Months, 10000-12000 /month
50,Flutter Development,Redjinni Industries Private Limited,Surat,6 Months, 5000 /month
51,React Native,JSTECHNO Solutions Private Limited,Ahmedabad,1 Month, 5000-11000 /month
52,Java Teaching (Trainer),Quencil Private Limited,Work From Home,3 Months, 5000 /month
53,Computer Vision,Necesario Innovations Private Limited,Ahmedabad,4 Months, 15000-25000 /month
54,Python Development,Makto Technology Private Limited,Coimbatore,3 Months, 8000 /month +  Incentives
55,Research (Deep Learning),Crowd Wisdom Trading,Work From Home,6 Months, 5000 /month
56,Manual Quality Analysis,WiJungle - by HttpCart,Gurgaon,6 Months, 14000-16000 /month
57,Python Development,Agastya Data Solutions,Hyderabad,3 Months, 25000 /month
58,Embedded Firmware Development,STREAM Minds LLP,Pune,4 Months, 5000-10000 /month
59,Flutter Development,Tvish,Work From Home,2 Months, 5000 /month
60,Java Development,Rocket Flyer Technology Private Limited,Faridabad,6 Months, 10000 /month
61,Flutter Development,IESoft Technologies Private Limited,Work From Home,6 Months, 20000 /month
62,Software Implementation,Credence Analytics,Mumbai,6 Months, 10500 /month
63,Medical Device Software Testing & Validation,Comofi Medtech Private Limited,Bangalore,6 Months, 10000 /month
64,Software Testing,Stringcode Technologies LLP,Pune,3 Months, 5000 /month
65,Mobile App Development,Sprung Inc,Work From Home,6 Months, 25000 /month
66,Smart Contracts Coding Dapps & Web Development,Himalaya Labs,Work From Home,3 Months, 7000 /month
67,Flutter Development,Impulse Edu Group,Work From Home,2 Months, 15000 /month
68,Flutter Development,Housy,Work From Home,3 Months, 8000 /month
69,Software Development,Opcito Technologies,Pune,6 Months, 15000-25000 /month
